transcript	GENE_NAME	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	adj_exp_syn	adj_exp_mis	adj_exp_lof	syn_z	mis_z	lof_z	em_p_hi
ENST00000373783.1	ADO	10	1	64564819	64565632	813	8.56E-06	1.51E-05	5.22E-07	49	71	0	65.42346966	115.0448338	4.253159226	1.258773515	2.008526512	2.042892444	0.745072785
ENST00000399262.2	JMJD1C	10	26	64927804	65225422	7623	2.37E-05	6.37E-05	5.32E-06	329	708	1	274.3204931	720.7083191	69.88075269	-2.046655656	0.231538978	8.162229111	1
ENST00000361320.4	LRRTM3	10	3	68686341	68857554	1746	7.76E-06	1.76E-05	1.19E-06	75	127	2	89.2310764	200.3559072	14.78663596	0.933962178	2.534839485	3.293906699	0.852645121
ENST00000358913.5	MYPN	10	19	69881195	69970212	3963	1.64E-05	3.89E-05	3.11E-06	195	461	11	192.2496258	445.7832405	42.65585908	-0.122973806	-0.352515262	4.801251938	0.065221397
ENST00000242480.3	EGR2	10	2	64572966	64575789	1431	8.12E-06	1.77E-05	5.47E-07	77	98	1	92.80276	201.7473628	7.04069206	1.016955508	3.572643602	2.255115208	0.619543204
ENST00000373789.3	RTKN2	10	12	63957666	64028369	1830	5.31E-06	1.48E-05	2.24E-06	68	196	24	59.97638304	160.0300538	28.31766687	-0.642287766	-1.390768543	0.803729849	1.31E-14
ENST00000399180.2	DNA2	10	21	70174795	70231879	3441	1.26E-05	3.18E-05	2.67E-06	124	333	18	127.4286123	312.843293	33.19262023	0.18829242	-0.557406955	2.612170994	1.95E-08
ENST00000410046.3	ZNF365	10	7	64135952	64430061	1389	6.23E-06	1.37E-05	1.02E-06	64	147	9	72.62193526	156.2201514	14.14235702	0.627220927	0.360817992	1.354537357	3.62E-05
ENST00000609923.1	SLC25A16	10	9	70243188	70287132	999	4.48E-06	1.10E-05	1.10E-06	44	101	8	37.4674694	100.6237227	14.55387008	-0.661612493	-0.018348499	1.701759896	0.000247608
ENST00000358769.2	PBLD	10	9	70043933	70066601	867	3.67E-06	8.19E-06	8.83E-07	41	95	9	44.77792602	95.40658582	13.62175179	0.350002669	0.020360288	1.2404518	2.82E-05
ENST00000212015.6	SIRT1	10	9	69644479	69676350	2244	1.22E-05	2.39E-05	1.57E-06	88	154	2	66.03705626	169.350111	18.06644156	-1.67550634	0.576945734	3.74432152	0.951787841
ENST00000279873.7	ARID5B	10	10	63661468	63852789	3567	1.67E-05	3.50E-05	1.90E-06	189	277	0	193.5127698	400.3449894	25.64230468	0.20111326	3.015232657	5.016123047	0.999889943
ENST00000225171.2	DNAJC12	10	5	69556873	69597769	597	2.13E-06	5.28E-06	6.34E-07	22	69	7	25.51384464	60.10429695	9.063094427	0.431264308	-0.561233878	0.678844913	0.000104074
ENST00000373758.4	REEP3	10	8	65281305	65380629	768	2.63E-06	7.07E-06	1.05E-06	25	52	5	24.19624329	62.16738066	11.82962633	-0.101298245	0.630730992	1.96698523	0.012981299
ENST00000277746.6	NRBF2	10	4	64893230	64913978	864	2.62E-06	6.69E-06	6.03E-07	27	74	3	29.64387348	73.25755611	8.183173064	0.30103854	-0.042427905	1.794835038	0.082106241
ENST00000265866.7	HNRNPH3	10	9	70096978	70101811	1041	3.74E-06	1.04E-05	1.51E-06	37	56	1	45.51696008	119.0506468	20.75925212	0.782613678	2.826440747	4.295901396	0.996456324
ENST00000359655.4	SUPV3L1	10	15	70940047	70968791	2361	8.92E-06	2.26E-05	1.91E-06	112	223	8	106.426824	259.8787973	27.58381834	-0.334910348	1.118942581	3.693685247	0.033820997
ENST00000398978.3	COL13A1	10	40	71562179	71718457	2154	1.23E-05	2.58E-05	2.72E-06	128	234	12	134.8843612	264.3925382	39.38359588	0.367480844	0.914236027	4.322375378	0.003928968
ENST00000354185.4	DDX21	10	15	70715981	70742568	2352	7.85E-06	2.16E-05	2.23E-06	87	190	3	94.4341642	249.7690282	31.16453488	0.474260327	1.849793274	4.997604818	0.998039216
ENST00000373644.4	TET1	10	11	70332095	70451571	6411	2.29E-05	5.52E-05	3.91E-06	300	644	6	262.6128645	626.3072632	48.41212777	-1.430254135	-0.345793515	6.038132661	0.999563278
ENST00000287078.6	TYSND1	10	4	71899679	71906342	1701	1.67E-05	2.92E-05	8.64E-07	55	140	3	112.8998343	203.3299356	7.62677541	3.378157841	2.172324169	1.659578005	0.0666401
ENST00000361983.4	KIAA1279	10	7	70748588	70776172	1866	8.58E-06	1.88E-05	1.14E-06	73	158	5	99.60870453	214.1640067	15.66883099	1.652815909	1.877160126	2.669858364	0.053883456
ENST00000373242.2	SAR1A	10	6	71912231	71921671	597	2.20E-06	5.94E-06	4.10E-07	17	41	1	27.459786	69.8101279	7.15850018	1.237439121	1.686562558	2.280098564	0.630165514
ENST00000242465.3	SRGN	10	3	70847913	70863876	477	2.06E-06	5.10E-06	3.76E-07	24	57	2	24.571716	59.0345403	5.515098	0.071501494	0.129517845	1.482690607	0.140766947
ENST00000373255.4	H2AFY2	10	8	71835414	71871439	1119	7.55E-06	1.36E-05	7.20E-07	80	73	0	87.23804292	154.4882264	11.14193492	0.480416044	3.206738212	3.306510496	0.97564111
ENST00000404387.2	HK1	10	19	71048499	71160891	2766	1.52E-05	3.34E-05	2.25E-06	147	200	7	177.4304471	380.5727508	32.73613932	1.416260393	4.527411059	4.455735519	0.55573331
ENST00000373585.3	DDX50	10	15	70661140	70706386	2214	6.75E-06	1.99E-05	2.59E-06	95	161	12	80.60036186	227.5306771	34.97600453	-0.994334801	2.157339872	3.848389858	0.000758121
ENST00000373382.1	VPS26A	10	9	70884033	70931025	984	3.00E-06	7.71E-06	8.09E-07	28	69	2	35.96688092	86.81989348	11.89214099	0.823543191	0.935431287	2.841515156	0.661577284
ENST00000265872.6	CCAR1	10	24	70482261	70551023	3453	1.08E-05	3.13E-05	4.06E-06	114	225	8	129.0198246	354.0849727	54.40876671	0.819757473	3.355354814	6.232399611	0.99874622
ENST00000354624.5	HKDC1	10	18	70980191	71026513	2754	1.50E-05	3.24E-05	2.50E-06	183	384	24	176.9431585	372.4068852	35.44322114	-0.282277146	-0.293837481	1.904019568	1.85E-12
ENST00000307864.1	AIFM2	10	8	71873933	71883840	1122	6.99E-06	1.40E-05	7.92E-07	64	164	11	77.19382961	153.4590303	11.74083462	0.93095586	-0.416200011	0.21417139	1.41E-07
ENST00000373279.4	C10orf35	10	2	71391499	71392815	366	1.56E-06	4.14E-06	3.07E-07	16	41	2	17.38331676	44.78167043	3.738040297	0.205686525	0.276407561	0.89048691	0.068371581
ENST00000242462.4	NEUROG3	10	1	71332154	71332799	645	6.18E-06	1.19E-05	6.10E-07	40	92	5	61.92224876	118.8993312	6.447047006	1.727075061	1.206612453	0.564536318	0.001116693
ENST00000373290.2	TSPAN15	10	8	71211350	71266734	885	4.95E-06	1.08E-05	7.84E-07	45	88	6	51.20977927	108.834689	11.18621914	0.537959062	0.976832284	1.536027258	0.001855808
ENST00000298596.6	STOX1	10	4	70587380	70652492	2970	1.29E-05	3.09E-05	1.99E-06	105	291	14	102.456566	255.8284789	22.48007645	-0.155773705	-1.07555565	1.771701561	2.34E-07
ENST00000373306.4	TACR2	10	5	71164581	71176079	1197	6.63E-06	1.43E-05	5.99E-07	71	139	9	73.05775478	157.380216	8.524602734	0.149248141	0.716624442	-0.16129069	9.88E-07
ENST00000355790.4	LRRC20	10	4	72061109	72136289	555	3.78E-06	7.27E-06	3.32E-07	43	81	2	44.524585	84.0850814	5.43760837	0.141645427	0.164559654	1.460300181	0.136831661
ENST00000420338.2	AC022532.1	10	1	72195053	72195527	474	2.34E-06	4.91E-06	2.36E-07	21	55	2	26.95792	56.0149221	3.09684499	0.711378868	0.066327932	0.617412189	0.050466464
ENST00000373109.2	SPOCK2	10	11	73822517	73848086	1275	8.70E-06	1.63E-05	1.35E-06	76	130	2	81.51945975	147.8537851	15.4521245	0.378979245	0.718175963	3.389896963	0.881279639
ENST00000373202.3	SGPL1	10	14	72576609	72637092	1707	6.45E-06	1.62E-05	1.46E-06	85	167	6	78.975825	189.1856933	22.46463396	-0.420242132	0.788942589	3.441058441	0.122514048
ENST00000335350.6	UNC5B	10	17	72972742	73059034	2838	1.81E-05	3.73E-05	2.22E-06	223	414	11	199.7677736	406.8524971	30.52430863	-1.019006665	-0.173321382	3.500599268	0.000746121
ENST00000373218.4	EIF4EBP2	10	3	72164157	72181503	363	2.46E-06	4.95E-06	2.45E-07	17	35	0	23.43209646	47.85597042	3.627491701	0.823752234	0.908977704	1.886656884	0.694677116
ENST00000263563.6	PALD1	10	19	72285707	72326489	2571	1.48E-05	3.25E-05	2.31E-06	167	333	11	159.4993491	344.3695799	30.98928155	-0.368189918	0.299674126	3.55697791	0.000887741
ENST00000394957.3	C10orf54	10	7	73511009	73533196	936	6.01E-06	1.18E-05	6.74E-07	69	107	2	61.78073315	118.7057964	8.893885409	-0.569398381	0.525510791	2.289855116	0.385978708
ENST00000373208.1	ADAMTS14	10	22	72432558	72520609	3681	2.03E-05	4.65E-05	3.53E-06	227	497	18	221.5215339	499.9205152	45.96412861	-0.228193486	0.063888568	4.085840606	2.33E-06
ENST00000299299.3	PCBD1	10	4	72643706	72648290	315	1.41E-06	3.20E-06	2.32E-07	16	33	4	15.29953004	32.85738978	3.251450663	-0.111019676	-0.01216886	-0.411217438	0.001094413
ENST00000373189.5	SLC29A3	10	6	73079066	73122365	1428	7.86E-06	1.57E-05	6.95E-07	118	209	11	91.2210851	180.3778408	9.878608562	-1.738179968	-1.042384458	-0.353426507	2.99E-08
ENST00000373232.3	PPA1	10	11	71962910	71993083	870	3.61E-06	8.34E-06	8.36E-07	30	85	6	38.08994509	84.77958846	11.95614707	0.812624871	-0.011708523	1.706316212	0.002556402
ENST00000398788.3	CDH23	10	22	73556868	73575035	3345	2.12E-05	4.46E-05	2.24E-06	187	445	8	210.5600066	434.8262517	28.71293142	1.006553416	-0.238636849	3.829062545	0.050692959
ENST00000441259.1	PRF1	10	2	72357808	72360658	1668	1.01E-05	2.16E-05	7.40E-07	118	252	10	110.8101461	235.7248504	8.946211174	-0.42343099	-0.518486434	-0.34899861	1.40E-07
ENST00000299290.1	TBATA	10	9	72531131	72543135	1056	4.52E-06	1.11E-05	7.53E-07	60	139	11	53.65418289	126.4990121	11.96481309	-0.537075607	-0.543647782	0.27629938	1.69E-07
ENST00000394936.3	PSAP	10	14	73577197	73610978	1575	8.50E-06	1.66E-05	1.19E-06	101	220	2	92.65173739	180.4673086	17.96617059	-0.537673507	-1.439374069	3.731321577	0.950037221
ENST00000277942.6	NPFFR1	10	4	72014712	72043432	1293	1.06E-05	2.08E-05	6.12E-07	62	104	10	72.25237504	142.3469495	5.102667764	0.747735711	1.572073023	-2.147586345	4.69E-09
ENST00000373115.4	CHST3	10	2	73765600	73768229	1440	1.24E-05	2.47E-05	6.33E-07	74	123	2	100.5536158	201.2315481	5.978900759	1.641625423	2.697429851	1.611914948	0.165928594
ENST00000287139.3	NODAL	10	3	72192691	72201423	1044	5.63E-06	1.21E-05	7.50E-07	45	102	0	54.58628374	120.5003486	9.001283737	0.804373635	0.824330113	2.971952918	0.947214574
ENST00000373032.3	PLA2G12B	10	4	74695374	74714443	588	2.48E-06	6.24E-06	5.35E-07	24	61	3	28.45422451	69.65843701	7.349367999	0.517663771	0.5074219	1.58924496	0.059869032
ENST00000339859.4	USP54	10	22	75258386	75335416	5055	1.71E-05	4.48E-05	3.94E-06	204	463	18	201.5288099	513.7262534	53.52508752	-0.107916726	1.094671314	4.810011577	3.94E-05
ENST00000357321.4	NUDT13	10	8	74874123	74890661	1059	3.58E-06	9.10E-06	9.54E-07	44	118	11	42.44236903	102.8472019	13.62541588	-0.14822244	-0.730824449	0.704551806	5.73E-07
ENST00000342444.4	ASCC1	10	11	73862126	73973056	1203	4.15E-06	1.05E-05	1.30E-06	36	99	10	38.18989089	99.7965748	15.77398034	0.21968358	0.039001615	1.44010551	1.30E-05
ENST00000372950.4	DNAJC9	10	5	75003157	75006947	783	4.27E-06	8.99E-06	9.17E-07	19	71	2	42.52590314	87.87616787	10.61281637	2.236499874	0.880551514	2.618903832	0.547006457
ENST00000299432.2	MSS51	10	6	75184310	75188042	1383	4.89E-06	1.32E-05	1.05E-06	60	160	9	57.89226	151.6427222	14.44381942	-0.171733988	-0.331949244	1.418901792	4.16E-05
ENST00000307365.3	DDIT4	10	2	74033974	74034946	699	5.39E-06	1.00E-05	6.90E-07	42	87	4	61.91163	114.3367652	8.66024689	1.568809362	1.250463784	1.568676742	0.019495468
ENST00000310715.3	TTC18	10	27	75013732	75114554	3366	1.01E-05	2.65E-05	2.92E-06	127	260	16	120.9563881	299.6461485	42.53718074	-0.340667508	1.120244025	4.030511716	1.75E-05
ENST00000359322.4	MYOZ1	10	5	75391687	75399775	900	3.69E-06	8.22E-06	6.34E-07	46	116	5	43.944394	95.2805181	9.27981236	-0.192237659	-1.038229243	1.391697303	0.004592103
ENST00000430082.2	ECD	10	14	74894340	74923695	2034	6.65E-06	1.71E-05	2.03E-06	74	204	18	73.68609156	182.7086329	26.34321001	-0.022670544	-0.77044425	1.610232405	1.15E-09
ENST00000372945.3	MRPS16	10	3	75010609	75012240	414	1.61E-06	5.08E-06	2.67E-07	24	58	2	19.37051023	58.54242409	4.171241054	-0.652096729	0.034675027	1.053088909	0.082765903
ENST00000372919.4	ANXA7	10	13	75135852	75160614	1467	4.76E-06	1.39E-05	1.67E-06	66	184	15	54.97176393	152.4341451	22.77102986	-0.922116517	-1.250528449	1.61315814	4.62E-08
ENST00000334011.5	OIT3	10	9	74653556	74692282	1638	8.36E-06	1.92E-05	1.43E-06	85	197	16	97.40732288	219.0074151	19.75048113	0.77934831	0.727370706	0.835964513	1.04E-09
ENST00000299381.4	ANAPC16	10	3	73983672	73992874	333	1.33E-06	3.17E-06	2.31E-07	19	27	2	16.284672	37.1887348	3.87107638	-0.41714071	0.817204672	0.942031306	0.072586498
ENST00000412021.2	P4HA1	10	14	74767979	74834641	1605	5.19E-06	1.47E-05	1.48E-06	63	122	4	63.91032167	169.7075894	22.23310974	0.070592408	1.79123825	3.830455085	0.776076095
ENST00000338820.3	DNAJB12	10	8	74095567	74114757	1230	7.72E-06	1.72E-05	1.06E-06	89	150	5	85.52385358	186.0832691	14.8356053	-0.233026013	1.293805559	2.529520101	0.039938674
ENST00000361114.5	MICU1	10	11	74127952	74326551	1431	4.46E-06	1.36E-05	1.56E-06	44	114	16	44.03558011	125.6221544	17.49318658	0.003323943	0.507191058	0.353646467	1.68E-10
ENST00000394829.2	PPP3CB	10	14	75197999	75255647	1578	6.26E-06	1.48E-05	1.63E-06	56	57	0	68.17188853	157.6305106	22.99328487	0.913912895	3.920360017	4.749962236	0.999703649
ENST00000373053.3	MCU	10	8	74451909	74645580	1056	4.92E-06	1.19E-05	1.19E-06	48	73	1	45.24922975	115.392991	16.19577049	-0.253511763	1.930282467	3.740345218	0.980775509
ENST00000287239.4	KAT6B	10	16	76602615	76790804	6222	2.48E-05	5.85E-05	4.17E-06	265	572	2	287.6953876	668.8349311	53.87147485	0.829508532	1.831424065	7.00065822	0.999999923
ENST00000372700.3	DUSP13	10	4	76854433	76868915	747	3.89E-06	9.75E-06	8.86E-07	48	110	11	43.91827539	107.0289035	11.31233661	-0.381829977	-0.140469877	0.091989114	9.99E-08
ENST00000313132.4	VDAC2	10	9	76971341	76990747	930	3.03E-06	7.22E-06	7.38E-07	32	50	1	34.47255676	75.97183745	9.73645308	0.26107155	1.457447305	2.773476288	0.819301261
ENST00000372538.3	COMTD1	10	7	76993830	76995686	789	7.71E-06	1.35E-05	9.72E-07	28	61	8	43.00554017	80.1795091	7.784772031	1.418531129	1.047664545	-0.076412681	5.22E-06
ENST00000211998.4	VCL	10	22	75757965	75877927	3405	1.45E-05	3.66E-05	3.04E-06	140	274	6	161.6661811	401.5397392	41.81268695	1.056385829	3.113132319	5.486211717	0.994870402
ENST00000372833.5	CHCHD1	10	3	75541833	75542945	357	2.41E-06	5.52E-06	3.05E-07	13	37	2	28.593344	63.8556245	4.71836647	1.807824047	1.643811742	1.239657736	0.103831181
ENST00000309979.6	NDST2	10	13	75562208	75568146	2652	1.03E-05	3.06E-05	2.08E-06	136	295	8	120.7941537	349.8436837	28.83574202	-0.857700659	1.434188341	3.843555015	0.052949614
ENST00000338487.5	DUPD1	10	3	76797593	76818272	663	5.26E-06	9.98E-06	4.21E-07	48	93	9	60.85112	114.3306842	6.03171551	1.021306611	0.975753579	-1.19722235	1.18E-07
ENST00000286621.2	ADK	10	11	75911036	76468203	1089	3.59E-06	8.75E-06	8.62E-07	40	79	3	37.23239428	89.64824858	12.5332617	-0.281186164	0.550077374	2.667467622	0.322841314
ENST00000372841.3	FUT11	10	3	75532091	75535443	1479	1.29E-05	2.41E-05	7.91E-07	81	197	8	121.5490925	229.4391489	8.962051438	2.280105077	1.04749395	0.318334971	1.26E-05
ENST00000394810.2	SYNPO2L	10	4	75406475	75415680	2934	1.47E-05	3.47E-05	2.05E-06	121	241	5	131.0604	302.1382404	13.74105345	0.544789783	1.720387324	2.335841942	0.026739766
ENST00000542569.1	SAMD8	10	5	76910286	76936450	1248	3.98E-06	1.10E-05	1.14E-06	48	64	6	39.66298416	107.3194202	13.29201132	-0.820668369	2.045313255	1.981260922	0.004351697
ENST00000339365.2	SEC24C	10	22	75506590	75530853	3285	1.26E-05	3.25E-05	2.57E-06	171	331	1	148.6097642	368.5062649	37.17738698	-1.138632835	0.955648638	5.877430304	0.99999234
ENST00000398706.2	ZSWIM8	10	26	75545636	75561277	5529	2.67E-05	6.45E-05	4.07E-06	290	358	1	272.3841748	645.0485751	49.40351991	-0.661699621	5.528097124	6.821622539	0.999999921
ENST00000355264.4	AP3M1	10	8	75883567	75898137	1257	4.32E-06	1.16E-05	8.91E-07	53	108	2	51.59528186	133.3640003	13.30503307	-0.121236737	1.074273559	3.070107247	0.76861788
ENST00000409178.1	C10orf55	10	2	75671442	75672002	456	1.99E-06	4.42E-06	1.77E-07	12	36	3	19.13893396	41.44739962	2.436679008	1.011634872	0.413863453	-0.357475718	0.005065636
ENST00000322680.3	CAMK2G	10	20	75574772	75634219	1671	8.65E-06	1.99E-05	1.95E-06	85	82	3	95.52003962	208.3334116	28.40028074	0.667297652	4.281098232	4.721357675	0.994506146
ENST00000595757.1	AC022400.2	10	1	75531934	75532378	444	4.89E-06	8.25E-06	2.09E-07	23	55	0	33.62553939	56.56615247	1.678790878	1.135967261	0.101852457	1.283476759	0.498245137
ENST00000372764.3	PLAU	10	10	75671313	75676323	1296	6.10E-06	1.41E-05	1.14E-06	66	137	8	69.91092415	156.2877974	16.55435221	0.289971858	0.754634393	2.082671258	0.00055027
ENST00000372499.1	C10orf11	10	6	77542733	78317046	597	2.86E-06	5.67E-06	7.17E-07	38	70	4	34.75195623	66.26343649	10.56820886	-0.341571145	-0.224518125	2.001409366	0.041056618
ENST00000372325.2	SFTPA2	10	4	81316964	81319239	747	3.32E-06	7.44E-06	5.55E-07	25	60	4	39.31089	86.019634	7.96941151	1.415010471	1.37220431	1.39284469	0.014599505
ENST00000372263.3	PLAC9	10	4	81892518	81904666	294	2.33E-06	4.33E-06	2.99E-07	23	39	3	16.02720575	30.82987645	3.578079244	-1.079759704	-0.71971234	0.302727648	0.010238569
ENST00000372281.3	TMEM254	10	4	81838455	81850673	372	1.56E-06	3.71E-06	4.15E-07	14	47	4	17.05341195	39.65770678	5.737361226	0.458383486	-0.5702748	0.71849495	0.00506595
ENST00000372524.4	ZNF503	10	2	77158506	77161177	1941	2.35E-05	3.28E-05	7.29E-07	146	186	0	199.9666337	278.7632282	6.83387835	2.365896601	2.717530535	2.589544053	0.887882313
ENST00000538322.1	AL133481.1	10	2	81266448	81270319	1128	4.34E-06	1.01E-05	5.68E-07	0	0	1	0.990423721	2.459276429	0.622116947	0.616964213	0.767043677	-0.474581849	0.083391557
ENST00000419470.2	SFTPA1	10	5	81371375	81373869	792	3.50E-06	7.71E-06	6.18E-07	24	78	6	41.02088756	87.83899555	8.577776643	1.647514265	0.513480325	0.871861727	0.000541612
ENST00000372292.3	SFTPD	10	7	81697607	81706415	1128	4.70E-06	1.07E-05	7.51E-07	45	123	3	56.153579	124.2157356	11.44778209	0.922730863	0.053352493	2.47327116	0.240356031
ENST00000334512.5	ZMIZ1	10	21	80961389	81072506	3204	2.11E-05	4.02E-05	2.50E-06	234	274	3	245.47954	458.9009267	36.60961692	0.454218498	4.221784131	5.502444049	0.999743701
ENST00000438331.1	ANXA11	10	14	81915608	81932617	1518	8.14E-06	1.77E-05	1.53E-06	95	216	12	88.3052714	186.1626278	20.72807033	-0.441661171	-1.069624235	1.89901532	3.46E-06
ENST00000429828.1	NUTM2B	10	7	81463365	81472241	2637	1.29E-05	2.73E-05	1.81E-06	0	3	0	34.48802137	76.81335821	5.791874617	3.640689089	4.119391429	2.38396175	0.841786847
ENST00000225174.3	PPIF	10	6	81107304	81113598	624	5.33E-06	9.38E-06	3.65E-07	27	69	4	42.09364423	74.08457931	5.781634946	1.442232295	0.288939983	0.733978035	0.005186213
ENST00000372391.2	DLG5	10	32	79552197	79686278	5760	3.41E-05	7.23E-05	3.91E-06	360	628	4	373.8812823	782.8885697	54.84174847	0.445054028	2.707608855	6.800714421	0.999998542
ENST00000440692.1	RPS24	10	5	79793659	79814768	870	3.75E-06	8.47E-06	6.86E-07	26	19	0	17.7184535	43.24143533	6.014871834	-1.219686455	1.803120491	2.429421596	0.852844135
ENST00000372371.3	POLR3A	10	31	79737235	79789165	4173	1.87E-05	4.19E-05	3.57E-06	192	393	30	221.2055536	479.0070906	52.71157952	1.217355784	1.92211675	3.098732033	7.39E-14
ENST00000372336.3	ZCCHC24	10	4	81146100	81205196	726	5.89E-06	1.04E-05	4.64E-07	39	43	1	47.81281437	87.69198408	5.521916858	0.790117487	2.334350952	1.906194935	0.473546851
ENST00000404857.1	KCNMA1	10	28	78647023	79397400	3660	2.03E-05	4.12E-05	2.95E-06	224	166	5	221.0023054	442.32514	42.43945498	-0.125008412	6.426374639	5.692909965	0.999216603
ENST00000372134.3	GHITM	10	8	85901256	85912104	1038	3.47E-06	9.45E-06	9.74E-07	45	119	4	41.53123856	107.2932808	13.82946446	-0.333684706	-0.552795647	2.618284789	0.129493358
ENST00000372141.2	NRG3	10	9	83635096	84745361	2091	1.33E-05	2.56E-05	1.90E-06	113	218	6	138.8014607	266.5247478	24.19136049	1.35767973	1.453819843	3.663741339	0.21033799
ENST00000372204.3	DYDC1	10	6	82095911	82112357	534	1.51E-06	4.36E-06	4.98E-07	17	53	5	18.2716025	48.4956099	7.578827709	0.184421563	-0.316374332	0.927921	0.002065792
ENST00000372117.3	CDHR1	10	17	85954516	85974377	2580	1.40E-05	2.90E-05	1.55E-06	140	351	17	150.185809	304.2533822	21.74584922	0.515264455	-1.310837248	1.008127558	5.15E-10
ENST00000372037.3	BMPR1A	10	11	88635775	88683476	1599	5.76E-06	1.65E-05	1.60E-06	58	110	4	68.86398704	188.8884688	22.11979243	0.811601251	2.80754954	3.816387269	0.768624359
ENST00000372105.3	LRIT1	10	4	85991682	86001195	1872	1.01E-05	2.21E-05	1.09E-06	94	245	12	100.4020874	219.0736381	12.60415646	0.396096073	-0.856768854	0.168570752	2.92E-08
ENST00000339284.2	SH2D4B	10	7	82298087	82403837	1074	5.65E-06	1.40E-05	1.37E-06	59	136	12	54.3968139	133.9969227	15.83331009	-0.386920415	-0.084639235	0.954284325	3.12E-07
ENST00000372071.2	OPN4	10	11	88414540	88425508	1470	8.03E-06	1.83E-05	1.00E-06	98	230	11	89.22174641	194.3700354	14.63824909	-0.576132064	-1.250022042	0.941971046	1.10E-06
ENST00000327946.7	GRID1	10	16	87362029	88126149	3030	1.76E-05	3.63E-05	1.86E-06	193	317	4	199.5326224	406.6534534	26.82756905	0.286700572	2.174560323	4.365748286	0.950796126
ENST00000429989.3	TSPAN14	10	8	82248989	82277732	813	5.02E-06	9.90E-06	7.46E-07	47	58	1	55.39996509	106.638712	10.61229106	0.699636511	2.303779913	2.922886954	0.863069548
ENST00000372113.4	LRIT2	10	3	85981675	85985276	1653	6.07E-06	1.45E-05	7.30E-07	73	254	12	69.39660253	163.8684767	9.400415707	-0.268159294	-3.443858692	-0.839885471	1.83E-09
ENST00000298767.5	WAPAL	10	18	88197299	88277826	3573	1.14E-05	3.01E-05	2.93E-06	136	251	1	135.8125563	346.926335	40.47089671	-0.009968941	2.519042872	6.146038774	0.999997765
ENST00000359452.4	RGR	10	7	86004846	86018395	888	5.06E-06	9.80E-06	8.03E-07	66	120	10	60.283143	113.9474997	12.03157367	-0.45646667	-0.277331271	0.58017774	1.56E-06
ENST00000372198.1	DYDC2	10	4	82104538	82126707	576	1.60E-06	4.39E-06	3.85E-07	18	52	3	18.440201	48.1153171	5.15061393	0.063550171	-0.273923968	0.938690966	0.02331224
ENST00000224756.8	CCSER2	10	10	86130808	86273299	2505	7.77E-06	2.04E-05	1.77E-06	108	258	5	89.57698599	230.2347102	23.05265011	-1.206734756	-0.89502144	3.724518751	0.475105131
ENST00000372213.3	MAT1A	10	9	82033536	82049179	1188	6.67E-06	1.42E-05	8.66E-07	79	100	2	76.63582999	156.611781	13.09226495	-0.167421892	2.212642202	3.036704534	0.754129518
ENST00000429277.2	LDB3	10	13	88428448	88492733	2199	1.24E-05	2.58E-05	1.56E-06	147	283	10	143.8152156	294.3037624	22.79647466	-0.164637677	0.322287167	2.654887931	0.00021485
ENST00000372126.3	C10orf99	10	3	85933607	85944522	246	7.35E-07	2.20E-06	2.56E-07	12	37	2	9.5801	26.1551399	4.16223588	-0.48468753	-1.037198477	1.049855319	0.08244671
ENST00000372181.1	FAM213A	10	5	82180223	82191855	690	2.58E-06	6.32E-06	6.79E-07	34	67	7	31.335855	73.690474	9.78343569	-0.295044416	0.381212767	0.881505839	0.000157315
ENST00000372017.3	SNCG	10	5	88718454	88722742	384	2.41E-06	4.56E-06	3.04E-07	25	48	1	24.96605448	45.81824704	4.598601257	-0.004212252	-0.157653017	1.662304451	0.382299481
ENST00000404190.1	LIPK	10	9	90484300	90512513	1200	3.73E-06	1.00E-05	1.22E-06	51	140	13	36.62098563	93.85173279	14.30037759	-1.473036127	-2.329972208	0.340632038	1.19E-08
ENST00000381707.2	NUTM2A	10	7	88985587	88994465	2637	1.27E-05	2.74E-05	1.78E-06	2	0	0	38.69726941	65.36532253	3.373273705	3.657152554	3.95448702	1.819346847	0.672316973
ENST00000404743.4	LIPM	10	9	90562653	90580258	1272	4.47E-06	1.13E-05	1.12E-06	10	27	1	7.315446823	15.43055639	2.117411194	-0.61531998	-1.440581915	0.760676678	0.169253545
ENST00000371930.4	ANKRD22	10	6	90582697	90611364	576	2.20E-06	5.39E-06	6.31E-07	26	66	8	27.413178	63.5701504	9.66731969	0.167327461	-0.149062812	0.531196881	2.03E-05
ENST00000371939.3	LIPJ	10	9	90350444	90366664	1101	3.23E-06	8.38E-06	8.23E-07	53	117	11	38.47541209	94.165036	12.54906	-1.451649313	-1.150990866	0.43316402	2.64E-07
ENST00000394375.3	LIPF	10	10	90425297	90438438	1227	3.70E-06	9.58E-06	8.59E-07	47	114	7	43.7617776	108.9450104	13.12143422	-0.30346483	-0.236883053	1.673987531	0.000753525
ENST00000456849.1	PAPSS2	10	13	89419738	89505727	1860	7.72E-06	1.96E-05	1.58E-06	94	216	14	91.75557094	225.6198211	22.63234938	-0.14525775	0.313252038	1.797437937	2.50E-07
ENST00000371996.4	MINPP1	10	5	89264672	89312235	1464	9.12E-06	1.81E-05	1.13E-06	72	146	3	93.06495594	184.6866224	14.01739326	1.353683055	1.392385019	2.914975592	0.454406267
