A1BG	alpha-1-B glycoprotein
NPM1P9	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 9
NPM1P10	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 10
NPM1P11	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 11
NPM1P12	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 12
NPM1P13	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 13
NPM1P14	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 14
NPM1P17	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 17
NPM1P18	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 18
NPM1P19	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 19
NPM1P20	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 20
NPM1P21	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21
NPM1P22	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 22
NPM1P23	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 23
NPM1P24	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 24
NPM1P25	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 25
NPM1P26	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 26
NPM1P27	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 27
NPM1P28	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 28
NPM1P29	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 29
NPM1P30	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 30
NPM1P31	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 31
NPM1P32	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 32
NPM1P33	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 33
NPM1P34	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 34
NPM1P35	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 35
NPM1P36	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 36
NPM1P37	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 37
NPM1P38	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 38
NPM1P39	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 39
NPM1P40	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 40
NPM1P41	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 41
NPM1P42	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 42
NPM1P43	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 43
NPM1P44	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 44
NPM1P45	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 45
NPM1P46	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 46
NPM1P47	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 47
NPM1P48	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 48
NPM1P49	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 49
NPM1P50	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 50
NPM1P51	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 51
NPM1P52	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 52
NPM2	nucleophosmin/nucleoplasmin 2
NPM3	nucleophosmin/nucleoplasmin 3
NPNT	nephronectin
NPPA	natriuretic peptide A
NPPA-AS1	NPPA antisense RNA 1
NPPB	natriuretic peptide B
NPPC	natriuretic peptide C
NPR1	natriuretic peptide receptor 1
NPR2	natriuretic peptide receptor 2
NPR3	natriuretic peptide receptor 3
NPRL2	NPR2-like, GATOR1 complex subunit
NPRL3	NPR3 like, GATOR1 complex subunit
NPS	neuropeptide S
NPSR1	neuropeptide S receptor 1
NPSR1-AS1	NPSR1 antisense RNA 1
NPTN	neuroplastin
NPTN-IT1	NPTN intronic transcript 1
NPTX1	neuronal pentraxin 1
NPTX2	neuronal pentraxin 2
NPTXR	neuronal pentraxin receptor
NPVF	neuropeptide VF precursor
NPW	neuropeptide W
NPY	neuropeptide Y
NPY1R	neuropeptide Y receptor Y1
NPY2R	neuropeptide Y receptor Y2
NPY4R	neuropeptide Y receptor Y4
NPY5R	neuropeptide Y receptor Y5
NPY6R	neuropeptide Y receptor Y6 (pseudogene)
NQO1	NAD(P)H quinone dehydrogenase 1
NQO2	NAD(P)H quinone dehydrogenase 2
NR1D1	nuclear receptor subfamily 1 group D member 1
NR1D2	nuclear receptor subfamily 1 group D member 2
NR1H2	nuclear receptor subfamily 1 group H member 2
NR1H3	nuclear receptor subfamily 1 group H member 3
NR1H4	nuclear receptor subfamily 1 group H member 4
NR1H5P	nuclear receptor subfamily 1 group H member 5, pseudogene
NR1I2	nuclear receptor subfamily 1 group I member 2
NR1I3	nuclear receptor subfamily 1 group I member 3
NR1I4	nuclear receptor subfamily 1 group I member 4
NR2C1	nuclear receptor subfamily 2 group C member 1
NR2C2	nuclear receptor subfamily 2 group C member 2
NR2C2AP	nuclear receptor 2C2 associated protein
NR2E1	nuclear receptor subfamily 2 group E member 1
NR2E3	nuclear receptor subfamily 2 group E member 3
NR2F1	nuclear receptor subfamily 2 group F member 1
NR2F1-AS1	NR2F1 antisense RNA 1
NR2F2	nuclear receptor subfamily 2 group F member 2
NR2F2-AS1	NR2F2 antisense RNA 1
NR2F6	nuclear receptor subfamily 2 group F member 6
NR3C1	nuclear receptor subfamily 3 group C member 1
NR3C1P1	nuclear receptor subfamily 3 group C member 1 pseudogene 1
NR3C2	nuclear receptor subfamily 3 group C member 2
NR4A1	nuclear receptor subfamily 4 group A member 1
NR4A2	nuclear receptor subfamily 4 group A member 2
NR4A3	nuclear receptor subfamily 4 group A member 3
NR5A1	nuclear receptor subfamily 5 group A member 1
NR5A2	nuclear receptor subfamily 5 group A member 2
NR6A1	nuclear receptor subfamily 6 group A member 1
NRADDP	neurotrophin receptor associated death domain, pseudogene
NRAP	nebulin related anchoring protein
NRARP	NOTCH-regulated ankyrin repeat protein
NRAS	neuroblastoma RAS viral oncogene homolog
NRAV	negative regulator of antiviral response (non-protein coding)
NR0B1	nuclear receptor subfamily 0 group B member 1
NR0B2	nuclear receptor subfamily 0 group B member 2
NRBF2	nuclear receptor binding factor 2
NRBF2P1	nuclear receptor binding factor 2 pseudogene 1
NRBF2P2	nuclear receptor binding factor 2 pseudogene 2
NRBF2P3	nuclear receptor binding factor 2 pseudogene 3
NRBF2P4	nuclear receptor binding factor 2 pseudogene 4
NRBF2P5	nuclear receptor binding factor 2 pseudogene 5
NRBP1	nuclear receptor binding protein 1
NRBP2	nuclear receptor binding protein 2
NRCAM	neuronal cell adhesion molecule
NRDC	nardilysin convertase
NRDE2	NRDE-2, necessary for RNA interference, domain containing
NREP	neuronal regeneration related protein
NREP-AS1	NREP antisense RNA 1
NRF1	nuclear respiratory factor 1
NRG1	neuregulin 1
NRG1-IT1	NRG1 intronic transcript 1
NRG1-IT3	NRG1 intronic transcript 3
NRG2	neuregulin 2
NRG3	neuregulin 3
NRG3-AS1	NRG3 antisense RNA 1
NRG4	neuregulin 4
NRGN	neurogranin
NRIP1	nuclear receptor interacting protein 1
NRIP2	nuclear receptor interacting protein 2
NRIP3	nuclear receptor interacting protein 3
NRIR	negative regulator of interferon response (non-protein coding)
NRK	Nik related kinase
NRL	neural retina leucine zipper
NRM	nurim (nuclear envelope membrane protein)
NRN1	neuritin 1
NRN1L	neuritin 1 like
NRON	non-protein coding RNA, repressor of NFAT
NRP1	neuropilin 1
NRP2	neuropilin 2
NRROS	negative regulator of reactive oxygen species
NRSN1	neurensin 1
NRSN2	neurensin 2
NRSN2-AS1	NRSN2 antisense RNA 1
NRTN	neurturin
NRXN1	neurexin 1
NRXN2	neurexin 2
NRXN3	neurexin 3
NSA2	NSA2, ribosome biogenesis homolog
NSD1	nuclear receptor binding SET domain protein 1
NSDHL	NAD(P) dependent steroid dehydrogenase-like
NSF	N-ethylmaleimide sensitive factor
NSFL1C	NSFL1 (p97) cofactor (p47)
NSFP1	N-ethylmaleimide-sensitive factor pseudogene 1
NSL1	NSL1, MIS12 kinetochore complex component
NSMAF	neutral sphingomyelinase activation associated factor
NSMCE1	NSE1 homolog, SMC5-SMC6 complex component
NSMCE2	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase
NSMCE3	NSE3 homolog, SMC5-SMC6 complex component
NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component
NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor
NSRP1	nuclear speckle splicing regulatory protein 1
NSRP1P1	nuclear speckle splicing regulatory protein 1 pseudogene 1
NSUN2	NOP2/Sun RNA methyltransferase family member 2
NSUN3	NOP2/Sun RNA methyltransferase family member 3
NSUN4	NOP2/Sun RNA methyltransferase family member 4
NSUN5	NOP2/Sun RNA methyltransferase family member 5
NSUN5P1	NOP2/Sun RNA methyltransferase family member 5 pseudogene 1
NSUN5P2	NOP2/Sun RNA methyltransferase family member 5 pseudogene 2
NSUN6	NOP2/Sun RNA methyltransferase family member 6
NSUN7	NOP2/Sun RNA methyltransferase family member 7
NT3	3'-nucleotidase
NT5C	5', 3'-nucleotidase, cytosolic
NT5C1A	5'-nucleotidase, cytosolic IA
NT5C1B	5'-nucleotidase, cytosolic IB
NT5C1B-RDH14	NT5C1B-RDH14 readthrough
NT5C2	5'-nucleotidase, cytosolic II
NT5C3A	5'-nucleotidase, cytosolic IIIA
NT5C3AP1	5'-nucleotidase, cytosolic IIIA pseudogene 1
NT5C3B	5'-nucleotidase, cytosolic IIIB
NT5CP1	5',3'-nucleotidase, cytosolic pseudogene 1
NT5CP2	5',3'-nucleotidase, cytosolic pseudogene 2
NT5CP3	5',3'-nucleotidase, cytosolic pseudogene 3
NT5DC1	5'-nucleotidase domain containing 1
NT5DC2	5'-nucleotidase domain containing 2
NT5DC3	5'-nucleotidase domain containing 3
NT5DC4	5'-nucleotidase domain containing 4
NT5E	5'-nucleotidase ecto
NT5M	5',3'-nucleotidase, mitochondrial
NTAN1	N-terminal asparagine amidase
NTAN1P1	N-terminal asparagine amidase pseudogene 1
NTAN1P2	N-terminal asparagine amidase pseudogene 2
NTAN1P3	N-terminal asparagine amidase pseudogene 3
NTF3	neurotrophin 3
NTF4	neurotrophin 4
NTF6A	neurotrophin 6 alpha (pseudogene)
NTF6B	neurotrophin 6 beta (pseudogene)
NTF6G	neurotrophin 6 gamma (pseudogene)
NTHL1	nth-like DNA glycosylase 1
NTM	neurotrimin
NTM-AS1	NTM antisense RNA 1
NTM-IT	NTM intronic transcript
NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1
NTN1	netrin 1
NTN3	netrin 3
NTN4	netrin 4
NTN5	netrin 5
NTNG1	netrin G1
NTNG2	netrin G2
NTPCR	nucleoside-triphosphatase, cancer-related
NTRK1	neurotrophic receptor tyrosine kinase 1
NTRK2	neurotrophic receptor tyrosine kinase 2
NTRK3	neurotrophic receptor tyrosine kinase 3
NTRK3-AS1	NTRK3 antisense RNA 1
NTS	neurotensin
NTSR1	neurotensin receptor 1 (high affinity)
NTSR2	neurotensin receptor 2
NUAK1	NUAK family kinase 1
NUAK2	NUAK family kinase 2
NUB1	negative regulator of ubiquitin-like proteins 1
NUBP1	nucleotide binding protein 1
NUBP2	nucleotide binding protein 2
NUBPL	nucleotide binding protein like
NUCB1	nucleobindin 1
NUCB1-AS1	NUCB1 antisense RNA 1
NUCB2	nucleobindin 2
NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1
NUCKS1P1	nuclear casein kinase and cyclin-dependent kinase substrate 1 pseudogene 1
NUDC	nudC nuclear distribution protein
NUDCD1	NudC domain containing 1
NUDCD2	NudC domain containing 2
NUDCD3	NudC domain containing 3
NUDCP1	nudC nucelar distribution protein pseudogene 1
NUDCP2	nudC nucelar distribution protein pseudogene 2
NUDT1	nudix hydrolase 1
NUDT2	nudix hydrolase 2
NUDT3	nudix hydrolase 3
NUDT4	nudix hydrolase 4
NUDT4P1	nudix hydrolase 4 pseudogene 1
NUDT4P2	nudix hydrolase 4 pseudogene 2
NUDT5	nudix hydrolase 5
NUDT6	nudix hydrolase 6
NUDT7	nudix hydrolase 7
NUDT8	nudix hydrolase 8
NUDT9	nudix hydrolase 9
NUDT9P1	nudix hydrolase 9 pseudogene 1
NUDT10	nudix hydrolase 10
NUDT11	nudix hydrolase 11
NUDT12	nudix hydrolase 12
NUDT13	nudix hydrolase 13
NUDT14	nudix hydrolase 14
NUDT15	nudix hydrolase 15
NUDT15P1	nudix hydrolase 15 pseudogene 1
NUDT15P2	nudix hydrolase 15 pseudogene 2
NUDT16	nudix hydrolase 16
NUDT16L1	nudix hydrolase 16 like 1
NUDT16P1	nudix hydrolase 16 pseudogene 1
NUDT17	nudix hydrolase 17
NUDT18	nudix hydrolase 18
NUDT19	nudix hydrolase 19
NUDT19P1	nudix hydrolase 19 pseudogene 1
NUDT19P2	nudix hydrolase 19 pseudogene 2
NUDT19P3	nudix hydrolase 19 pseudogene 3
NUDT19P4	nudix hydrolase 19 pseudogene 4
NUDT19P5	nudix hydrolase 19 pseudogene 5
NUDT21	nudix hydrolase 21
NUDT21P1	nudix hydrolase 21 pseudogene 1
NUDT22	nudix hydrolase 22
NUF2	NUF2, NDC80 kinetochore complex component
NUFIP1	nuclear fragile X mental retardation protein interacting protein 1
NUFIP1P	nuclear fragile X mental retardation protein interacting protein 1 pseudogene
NUFIP2	nuclear fragile X mental retardation protein interacting protein 2
NUGGC	nuclear GTPase, germinal center associated
NUMA1	nuclear mitotic apparatus protein 1
NUMB	numb homolog (Drosophila)
NUMBL	numb homolog (Drosophila)-like
NUP35	nucleoporin 35kDa
NUP37	nucleoporin 37kDa
NUP43	nucleoporin 43kDa
NUP50	nucleoporin 50kDa
NUP50-AS1	NUP50 antisense RNA 1 (head to head)
NUP50P1	nucleoporin 50 pseudogene 1
NUP50P2	nucleoporin 50 pseudogene 2
NUP50P3	nucleoporin 50 pseudogene 3
NUP54	nucleoporin 54kDa
NUP58	nucleoporin 58kDa
NUP58P1	nucleoporin 58kDa pseudogene 1
NUP62	nucleoporin 62kDa
NUP62CL	nucleoporin 62kDa C-terminal like
NUP85	nucleoporin 85
NUP88	nucleoporin 88
NUP93	nucleoporin 93kDa
NUP98	nucleoporin 98kDa
NUP107	nucleoporin 107kDa
NUP133	nucleoporin 133kDa
NUP153	nucleoporin 153kDa
NUP155	nucleoporin 155kDa
NUP160	nucleoporin 160kDa
NUP188	nucleoporin 188kDa
NUP205	nucleoporin 205kDa
NUP210	nucleoporin 210kDa
NUP210L	nucleoporin 210kDa like
NUP210P1	nucleoporin 210kDa pseudogene 1
NUP210P2	nucleoporin 210kDa pseudogene 2
NUP210P3	nucleoporin 210kDa pseudogene 3
NUP214	nucleoporin 214kDa
NUPL2	nucleoporin like 2
NUPR1	nuclear protein 1, transcriptional regulator
NUPR2	nuclear protein 2, transcriptional regulator
NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit
NUS1P1	NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 1
NUS1P2	NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 2
NUS1P3	NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3
NUS1P4	NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 4
NUSAP1	nucleolar and spindle associated protein 1
NUTF2	nuclear transport factor 2
NUTF2P2	nuclear transport factor 2 pseudogene 2
NUTF2P3	nuclear transport factor 2 pseudogene 3
NUTF2P4	nuclear transport factor 2 pseudogene 4
NUTF2P5	nuclear transport factor 2 pseudogene 5
NUTF2P6	nuclear transport factor 2 pseudogene 6
NUTF2P7	nuclear transport factor 2 pseudogene 7
NUTF2P8	nuclear transport factor 2 pseudogene 8
NUTM1	NUT midline carcinoma, family member 1
NUTM2A	NUT family member 2A
NUTM2A-AS1	NUTM2A antisense RNA 1
NUTM2B	NUT family member 2B
NUTM2B-AS1	NUTM2B antisense RNA 1
NUTM2D	NUT family member 2D
NUTM2E	NUT family member 2E
NUTM2F	NUT family member 2F
NUTM2G	NUT family member 2G
NUTM2HP	NUT family member 2H, pseudogene
NVL	nuclear VCP-like
NWD1	NACHT and WD repeat domain containing 1
NWD2	NACHT and WD repeat domain containing 2
NXF1	nuclear RNA export factor 1
NXF2	nuclear RNA export factor 2
NXF2B	nuclear RNA export factor 2B
NXF3	nuclear RNA export factor 3
NXF4	nuclear RNA export factor 4 pseudogene
NXF5	nuclear RNA export factor 5
NXN	nucleoredoxin
NXNL1	nucleoredoxin-like 1
NXNL2	nucleoredoxin-like 2
NXNP1	nucleoredoxin pseudogene 1
NXPE1	neurexophilin and PC-esterase domain family member 1
NXPE2	neurexophilin and PC-esterase domain family member 2
NXPE2P1	neurexophilin and PC-esterase domain family member 2 pseudogene 1
NXPE3	neurexophilin and PC-esterase domain family member 3
NXPE4	neurexophilin and PC-esterase domain family member 4
NXPH1	neurexophilin 1
NXPH2	neurexophilin 2
NXPH3	neurexophilin 3
NXPH4	neurexophilin 4
NXT1	nuclear transport factor 2 like export factor 1
NXT1P1	nuclear transport factor 2 like export factor 1 pseudogene 1
NXT2	nuclear transport factor 2 like export factor 2
NYAP1	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1
NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
NYNRIN	NYN domain and retroviral integrase containing
NYS2	nystagmus 2, congenital autosomal dominant
NYS3	nystagmus 3, congenital autosomal dominant
NYS4	nystagmus 4, congenital autosomal dominant
NYX	nyctalopin
OA3	ocular albinism 3 (autosomal recessive)
OACYLP	O-acyltransferase like, pseudogene
OAF	out at first homolog
OAP	osteoarthrosis, precocious
OARD1	O-acyl-ADP-ribose deacylase 1
OAS1	2'-5'-oligoadenylate synthetase 1
OAS2	2'-5'-oligoadenylate synthetase 2
OAS3	2'-5'-oligoadenylate synthetase 3
OASD	ocular albinism and sensorineural deafness
OASL	2'-5'-oligoadenylate synthetase like
OAT	ornithine aminotransferase
OATP1	ornithine aminotransferase pseudogene 1
OAZ1	ornithine decarboxylase antizyme 1
OAZ2	ornithine decarboxylase antizyme 2
OAZ3	ornithine decarboxylase antizyme 3
OBFC1	oligonucleotide/oligosaccharide binding fold containing 1
OBP2A	odorant binding protein 2A
OBP2B	odorant binding protein 2B
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
OBSL1	obscurin-like 1
OC90	otoconin 90
OCA2	OCA2 melanosomal transmembrane protein
OCA5	oculocutaneous albinism 5 (autosomal recessive)
OCEL1	occludin/ELL domain containing 1
OCIAD1	OCIA domain containing 1
OCIAD1-AS1	OCIAD1 antisense RNA 1
OCIAD2	OCIA domain containing 2
OCIAD2P1	OCIA domain containing 2 pseudogene 1
OCLM	oculomedin
OCLN	occludin
OCM	oncomodulin
OCM2	oncomodulin 2
OCRL	oculocerebrorenal syndrome of Lowe
OCSTAMP	osteoclast stimulatory transmembrane protein
ODAM	odontogenic, ameloblast asssociated
ODC1	ornithine decarboxylase 1
ODCP	ornithine decarboxylase pseudogene
ODF1	outer dense fiber of sperm tails 1
ODF2	outer dense fiber of sperm tails 2
ODF2-AS1	ODF2 antisense RNA 1
ODF2L	outer dense fiber of sperm tails 2 like
ODF3	outer dense fiber of sperm tails 3
ODF3B	outer dense fiber of sperm tails 3B
ODF3L1	outer dense fiber of sperm tails 3-like 1
ODF3L2	outer dense fiber of sperm tails 3-like 2
ODF4	outer dense fiber of sperm tails 4
OED	Oregon eye disease
OFC1	orofacial cleft 1
OFC2	orofacial cleft 2
OFC3	orofacial cleft 3
OFCC1	orofacial cleft 1 candidate 1
OFD1	oral-facial-digital syndrome 1
OFD1P1Y	OFD1 pseudogene 1, Y-linked
OFD1P2Y	OFD1 pseudogene 2, Y-linked
OFD1P3Y	OFD1 pseudogene 3, Y-linked
OFD1P4Y	OFD1 pseudogene 4, Y-linked
OFD1P5Y	OFD1 pseudogene 5, Y-linked
OFD1P6Y	OFD1 pseudogene 6, Y-linked
OFD1P7Y	OFD1 pseudogene 7, Y-linked
OFD1P8Y	OFD1 pseudogene 8, Y-linked
OFD1P9Y	OFD1 pseudogene 9, Y-linked
OFD1P10Y	OFD1 pseudogene 10, Y-linked
OFD1P11Y	OFD1 pseudogene 11, Y-linked
OFD1P12Y	OFD1 pseudogene 12, Y-linked
OFD1P13Y	OFD1 pseudogene 13, Y-linked
OFD1P14Y	OFD1 pseudogene 14, Y-linked
OFD1P15Y	OFD1 pseudogene 15, Y-linked
OFD1P16Y	OFD1 pseudogene 16, Y-linked
OFD1P17	OFD1 pseudogene 17
OFD1P18Y	OFD1 pseudogene 18, Y-linked
OGDH	oxoglutarate dehydrogenase
OGDHL	oxoglutarate dehydrogenase-like
OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1
OGFOD1P1	2-oxoglutarate and iron dependent oxygenase domain containing 1 pseudogene 1
OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2
OGFOD3	2-oxoglutarate and iron dependent oxygenase domain containing 3
OGFR	opioid growth factor receptor
OGFR-AS1	OGFR antisense RNA 1
OGFRL1	opioid growth factor receptor-like 1
OGFRP1	opioid growth factor receptor pseudogene 1
OGG1	8-oxoguanine DNA glycosylase
OGN	osteoglycin
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase
OIP5	Opa interacting protein 5
OIP5-AS1	OIP5 antisense RNA 1
OIT3	oncoprotein induced transcript 3
OLA1	Obg-like ATPase 1
OLA1P1	Obg-like ATPase 1 pseudogene 1
OLA1P2	Obg-like ATPase 1 pseudogene 2
OLA1P3	Obg-like ATPase 1 pseudogene 3
OLAH	oleoyl-ACP hydrolase
OLFM1	olfactomedin 1
OLFM2	olfactomedin 2
OLFM3	olfactomedin 3
OLFM4	olfactomedin 4
OLFM5P	olfactomedin family member 5, pseudogene
OLFML1	olfactomedin like 1
OLFML2A	olfactomedin like 2A
OLFML2B	olfactomedin like 2B
OLFML3	olfactomedin like 3
OLIG1	oligodendrocyte transcription factor 1
OLIG2	oligodendrocyte lineage transcription factor 2
OLIG3	oligodendrocyte transcription factor 3
OLMALINC	oligodendrocyte maturation-associated long intergenic non-coding RNA
OLR1	oxidized low density lipoprotein receptor 1
OMA1	OMA1 zinc metallopeptidase
OMD	osteomodulin
OMG	oligodendrocyte myelin glycoprotein
OMP	olfactory marker protein
ONECUT1	one cut homeobox 1
ONECUT2	one cut homeobox 2
ONECUT3	one cut homeobox 3
OOEP	oocyte expressed protein
OOEP-AS1	OOEP antisense RNA 1
OOSP1	oocyte secreted protein 1, pseudogene
OOSP1P1	oocyte secreted protein 1 pseudogene 1
OOSP1P2	oocyte secreted protein 1 pseudogene 2
OOSP2	oocyte secreted protein 2
OPA1	OPA1, mitochondrial dynamin like GTPase
OPA1-AS1	OPA1 antisense RNA 1
OPA2	optic atrophy 2 (obscure)
OPA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)
OPA4	optic atrophy 4 (autosomal dominant)
OPA5	optic atrophy 5 (autosomal dominant)
OPA6	optic atrophy 6 (autosomal recessive)
OPA8	optic atrophy 8 (autosomal dominant)
OPALIN	oligodendrocytic myelin paranodal and inner loop protein
OPCML	opioid binding protein/cell adhesion molecule-like
OPCML-IT1	OPCML intronic transcript 1
OPCML-IT2	OPCML intronic transcript 2
OPEM	ophthalmoplegia, external, with myopia
OPHN1	oligophrenin 1
OPLAH	5-oxoprolinase (ATP-hydrolysing)
OPN1LW	opsin 1 (cone pigments), long-wave-sensitive
OPN1MW	opsin 1 (cone pigments), medium-wave-sensitive
OPN1MW2	opsin 1 (cone pigments), medium-wave-sensitive 2
OPN1MW3	opsin 1 (cone pigments), medium-wave-sensitive 3
OPN1SW	opsin 1 (cone pigments), short-wave-sensitive
OPN3	opsin 3
OPN4	opsin 4
OPN5	opsin 5
OPRD1	opioid receptor delta 1
OPRK1	opioid receptor kappa 1
OPRL1	opioid related nociceptin receptor 1
OPRM1	opioid receptor mu 1
OPRPN	opiorphin prepropeptide
OPTC	opticin
OPTN	optineurin
OR1A1	olfactory receptor family 1 subfamily A member 1
OR1A2	olfactory receptor family 1 subfamily A member 2
OR1AA1P	olfactory receptor family 1 subfamily AA member 1 pseudogene
OR1AB1P	olfactory receptor family 1 subfamily AB member 1 pseudogene
OR1AC1P	olfactory receptor family 1 subfamily AC member 1 pseudogene
OR1B1	olfactory receptor family 1 subfamily B member 1 (gene/pseudogene)
OR1C1	olfactory receptor family 1 subfamily C member 1
OR1D2	olfactory receptor family 1 subfamily D member 2
OR1D3P	olfactory receptor family 1 subfamily D member 3 pseudogene
OR1D4	olfactory receptor family 1 subfamily D member 4 (gene/pseudogene)
OR1D5	olfactory receptor family 1 subfamily D member 5
OR1E1	olfactory receptor family 1 subfamily E member 1
OR1E2	olfactory receptor family 1 subfamily E member 2
OR1E3	olfactory receptor family 1 subfamily E member 3 (gene/pseudogene)
OR1F1	olfactory receptor family 1 subfamily F member 1
OR1F2P	olfactory receptor family 1 subfamily F member 2 pseudogene
OR1F12	olfactory receptor family 1 subfamily F member 12
OR1G1	olfactory receptor family 1 subfamily G member 1
OR1H1P	olfactory receptor family 1 subfamily H member 1 pseudogene
OR1I1	olfactory receptor family 1 subfamily I member 1
OR1J1	olfactory receptor family 1 subfamily J member 1
OR1J2	olfactory receptor family 1 subfamily J member 2
OR1J4	olfactory receptor family 1 subfamily J member 4
OR1K1	olfactory receptor family 1 subfamily K member 1
OR1L1	olfactory receptor family 1 subfamily L member 1
OR1L3	olfactory receptor family 1 subfamily L member 3
OR1L4	olfactory receptor family 1 subfamily L member 4
OR1L6	olfactory receptor family 1 subfamily L member 6
OR1L8	olfactory receptor family 1 subfamily L member 8
OR1M1	olfactory receptor family 1 subfamily M member 1
OR1M4P	olfactory receptor family 1 subfamily M member 4 pseudogene
OR1N1	olfactory receptor family 1 subfamily N member 1
OR1N2	olfactory receptor family 1 subfamily N member 2
OR1P1	olfactory receptor family 1 subfamily P member 1 (gene/pseudogene)
OR1Q1	olfactory receptor family 1 subfamily Q member 1
OR1R1P	olfactory receptor family 1 subfamily R member 1 pseudogene
OR1S1	olfactory receptor family 1 subfamily S member 1 (gene/pseudogene)
OR1S2	olfactory receptor family 1 subfamily S member 2
OR1X1P	olfactory receptor family 1 subfamily X member 1 pseudogene
OR1X5P	olfactory receptor family 1 subfamily X member 5 pseudogene
OR2A1	olfactory receptor family 2 subfamily A member 1
OR2A1-AS1	OR2A1 antisense RNA 1
OR2A2	olfactory receptor family 2 subfamily A member 2
OR2A3P	olfactory receptor family 2 subfamily A member 3 pseudogene
OR2A4	olfactory receptor family 2 subfamily A member 4
OR2A5	olfactory receptor family 2 subfamily A member 5
OR2A7	olfactory receptor family 2 subfamily A member 7
OR2A9P	olfactory receptor family 2 subfamily A member 9 pseudogene
OR2A12	olfactory receptor family 2 subfamily A member 12
OR2A13P	olfactory receptor family 2 subfamily A member 13 pseudogene
OR2A14	olfactory receptor family 2 subfamily A member 14
OR2A15P	olfactory receptor family 2 subfamily A member 15 pseudogene
