accession_number	gene	all_gene_names
P0C843	LINC00032	LINC00032
Q86W42	THOC6	THOC6
P58340	MLF1	MLF1
P06865	HEXA	HEXA
A0A1W2PR48	TLE7	TLE7
Q8N8B7	TCEANC	TCEANC
P31321	PRKAR1B	PRKAR1B
Q9BT67	NDFIP1	NDFIP1
Q5VSY0	GKAP1	GKAP1
Q7Z589	EMSY	EMSY
Q9H3D4	TP63	TP63
P31323	PRKAR2B	PRKAR2B
P05089	ARG1	ARG1
Q7Z3Q1	SLC46A3	SLC46A3
Q86W47	KCNMB4	KCNMB4
Q8NG50	RDM1	RDM1
Q13330	MTA1	MTA1
P31327	CPS1	CPS1
Q13332	PTPRS	PTPRS
Q5BKU9	OXLD1	OXLD1
Q9HB71	CACYBP	CACYBP
Q13336	SLC14A1	SLC14A1
A6NI56	CCDC154	CCDC154
P35212	GJA4	GJA4
Q8NG57	ELOA3	ELOA3
Q9Y2A4	ZNF443	ZNF443
Q7L273	KCTD9	KCTD9
Q9HB75	PIDD1	PIDD1
Q969U6	FBXW5	FBXW5
Q969U7	PSMG2	PSMG2
Q9P1A2	PPP4R1L	PPP4R1L
P28676	GCA	GCA
Q9Y2A7	NCKAP1	NCKAP1
Q8NEN0	ARMC2	ARMC2
Q9NYB0	TERF2IP	TERF2IP
P35218	CA5A	CA5A
Q4LEZ3	AARD	AARD
Q9Y2A9	B3GNT3	B3GNT3
Q96PX1	RNF157	RNF157
Q9P1A6	DLGAP2	DLGAP2
P49619	DGKG	DGKG
P35219	CA8	CA8
P46597	ASMT	ASMT
P98073	TMPRSS15	TMPRSS15
A6NGN4	PRAMEF25	PRAMEF25
Q01581	HMGCS1	HMGCS1
Q9BY21	GPR87	GPR87
Q9NYB5	SLCO1C1	SLCO1C1
Q5T1V6	DDX59	DDX59
Q8TEV8	SMCR5	SMCR5
P05543	SERPINA7	SERPINA7
Q68DD2	PLA2G4F	PLA2G4F
O75015	FCGR3B	FCGR3B
Q96PX6	CCDC85A	CCDC85A
Q96HH4	TMEM169	TMEM169
Q8TEV9	SMCR8	SMCR8
P98077	SHC2	SHC2
Q96PX8	SLITRK1	SLITRK1
O00400	SLC33A1	SLC33A1
Q9NQ25	SLAMF7	SLAMF7
Q8NEN9	PDZD8	PDZD8
Q567V2	MPV17L2	MPV17L2
A6NGN9	IGLON5	IGLON5
Q04609	FOLH1	FOLH1
O00401	WASL	WASL
Q96HH6	TMEM19	TMEM19
P05546	SERPIND1	SERPIND1
Q96PX9	PLEKHG4B	PLEKHG4B
Q9H000	MKRN2	MKRN2
Q9BY27	DGCR6L	DGCR6L
Q9NYB9	ABI2	ABI2
O14802	POLR3A	POLR3A
Q5VXU1	NKAIN2	NKAIN2
O75019	LILRA1	LILRA1
Q6P4D5	FAM122C	FAM122C
P05549	TFAP2A	TFAP2A
O14804	TAAR5	TAAR5
Q9NQ29	LUC7L	LUC7L
Q96HH9	GRAMD2B	GRAMD2B
Q5VXU3	CHIC1	CHIC1
P23467	PTPRB	PTPRB
Q5SYE7	NHSL1	NHSL1
P09430	TNP1	TNP1
P23468	PTPRD	PTPRD
Q99784	OLFM1	OLFM1
O14807	MRAS	MRAS
Q5T890	ERCC6L2	ERCC6L2
P23469	PTPRE	PTPRE
O00408	PDE2A	PDE2A
Q6NT52	CGB2	CGB2
P62324	BTG1	BTG1
P55786	NPEPPS	NPEPPS
Q9H008	LHPP	LHPP
O00409	FOXN3	FOXN3
Q5VXU9	SHOC1	SHOC1
Q9H009	NACA2	NACA2
A6NN14	ZNF729	ZNF729
Q9BWK5	CYREN	CYREN
Q6NT55	CYP4F22	CYP4F22
Q99788	CMKLR1	CMKLR1
P0DKX0	ZNF728	ZNF728
Q9H6Y2	WDR55	WDR55
P62328	TMSB4X	TMSB4X
E0CX11	STMP1	STMP1
P55789	GFER	GFER
P27352	CBLIF	CBLIF
Q9H6Y5	MAGIX	MAGIX
A0A0B4J1X5	IGHV3-74	IGHV3-74
P0DKX4	SMIM18	SMIM18
P14735	IDE	IDE
Q9H6Y7	RNF167	RNF167
Q8IZP0	ABI1	ABI1
Q8N3G9	TMEM130	TMEM130
Q8IZP1	TBC1D3	TBC1D3
A0A0B4J1X8	IGHV3-43	IGHV3-43
Q8IZP2	ST13P4	ST13P4
P00338	LDHA	LDHA
P50570	DNM2	DNM2
A6NLJ0	C2CD4B	C2CD4B
Q5T6R2	TPTE2P1	TPTE2P1
Q8TBB0	THAP6	THAP6
Q6PKH6	DHRS4L2	DHRS4L2
Q8TBB1	LNX1	LNX1
Q9Y5V0	ZNF706	ZNF706
Q9UMZ2	SYNRG	SYNRG
Q8IZP6	RNF113B	RNF113B
Q4VC44	FLYWCH1	FLYWCH1
Q69YN2	CWF19L1	CWF19L1
P18621	RPL17	RPL17
Q9UMZ3	PTPRQ	PTPRQ
Q8IZP7	HS6ST3	HS6ST3
Q69YN4	VIRMA	VIRMA
Q96MD2	C12orf66	C12orf66
B2RUY7	VWC2L	VWC2L
Q96E40	SPACA9	SPACA9
Q9Y5V3	MAGED1	MAGED1
Q8TBB5	KLHDC4	KLHDC4
Q8IZP9	ADGRG2	ADGRG2
Q8TBB6	SLC7A14	SLC7A14
Q7L5L3	GDPD3	GDPD3
P23921	RRM1	RRM1
P08100	RHO	RHO
P50579	METAP2	METAP2
Q00266	MAT1A	MAT1A
Q14667	KIAA0100	KIAA0100
P36542	ATP5F1C	ATP5F1C
P18627	LAG3	LAG3
Q96MD7	C9orf85	C9orf85
P36543	ATP6V1E1	ATP6V1E1
Q14669	TRIP12	TRIP12
P36544	CHRNA7	CHRNA7
B3EWG3	FAM25A	FAM25A
B3EWG5	FAM25C	FAM25C
Q8WXU2	DNAAF4	DNAAF4
Q5VUA4	ZNF318	ZNF318
Q9NTG1	PKDREJ	PKDREJ
Q52LG2	KRTAP13-2	KRTAP13-2
Q6IPM2	IQCE	IQCE
Q05932	FPGS	FPGS
B3EWG6	FAM25G	FAM25G
Q70SY1	CREB3L2	CREB3L2
Q7Z591	AKNA	AKNA
Q8N8C0	ZNF781	ZNF781
Q5SV17	TMEM240	TMEM240
P61006	RAB8A	RAB8A
P06870	KLK1	KLK1
P05090	APOD	APOD
P10265	ERVK-10	ERVK-10
P10266	ERVK-10	ERVK-10
P61580	ERVK-10	ERVK-10
P87889	ERVK-10	ERVK-10
P05091	ALDH2	ALDH2
Q9BT73	PSMG3	PSMG3
P0C851	PIRT	PIRT
Q2VIR3	EIF2S3B	EIF2S3B
P61009	SPCS3	SPCS3
Q96CM3	RPUSD4	RPUSD4
Q86W50	METTL16	METTL16
P05093	CYP17A1	CYP17A1
Q9NTG7	SIRT3	SIRT3
Q96CM4	NXNL1	NXNL1
P0C853	BAALC-AS2	BAALC-AS2
Q9BT76	UPK3B	UPK3B
Q9H3E2	SNX25	SNX25
Q6NY19	KANK3	KANK3
P0C854	CECR9	CECR9
P27815	PDE4A	PDE4A
Q86W54	SPATA24	SPATA24
P27816	MAP4	MAP4
Q9BT78	COPS4	COPS4
Q96CM8	ACSF2	ACSF2
Q86W56	PARG	PARG
P26038	MSN	MSN
F7VJQ1	PRNP	PRNP
P04156	PRNP	PRNP
A0A286YFG1	SCYGR8	SCYGR8
Q9BRP0	OVOL2	OVOL2
Q08043	ACTN3	ACTN3
Q9BRP1	PDCD2L	PDCD2L
Q5JSJ4	INTS6L	INTS6L
P10398	ARAF	ARAF
A6NI61	MYMK	MYMK
Q13342	SP140	SP140
Q00722	PLCB2	PLCB2
P17301	ITGA2	ITGA2
Q9BRP4	PAAF1	PAAF1
P17302	GJA1	GJA1
Q9UJF2	RASAL2	RASAL2
Q969V1	MCHR2	MCHR2
Q9Y2B0	CNPY2	CNPY2
Q96J01	THOC3	THOC3
Q9Y2B1	RXYLT1	RXYLT1
Q86UN2	RTN4RL1	RTN4RL1
Q14CB8	ARHGAP19	ARHGAP19
Q86UN3	RTN4RL2	RTN4RL2
Q9Y2B2	PIGL	PIGL
Q8NG66	NEK11	NEK11
Q969V3	NCLN	NCLN
Q96J02	ITCH	ITCH
Q9BRP7	FDXACB1	FDXACB1
P35221	CTNNA1	CTNNA1
Q969V4	TEKT1	TEKT1
Q9BRP8	PYM1	PYM1
Q13347	EIF3I	EIF3I
P35222	CTNNB1	CTNNB1
Q8NG68	TTL	TTL
Q9Y2B4	TP53TG5	TP53TG5
Q969V5	MUL1	MUL1
Q9Y2B5	VPS9D1	VPS9D1
P33981	TTK	TTK
P54920	NAPA	NAPA
Q969V6	MRTFA	MRTFA
Q13349	ITGAD	ITGAD
Q86UN6	AKAP14	AKAP14
P35225	IL13	IL13
Q6QNK2	ADGRD1	ADGRD1
Q8TEW0	PARD3	PARD3
P35226	BMI1	BMI1
P54922	ADPRH	ADPRH
P35227	PCGF2	PCGF2
P22607	FGFR3	FGFR3
Q96PY0	PSMG3-AS1	PSMG3-AS1
Q9Y2B9	PKIG	PKIG
P35228	NOS2	NOS2
Q9HB89	NMUR1	NMUR1
P98082	DAB2	DAB2
Q9BY31	ZNF717	ZNF717
Q96HI0	SENP5	SENP5
Q8WUA2	PPIL4	PPIL4
O75022	LILRB3	LILRB3
Q9NQ30	ESM1	ESM1
O75023	LILRB5	LILRB5
Q9BY32	ITPA	ITPA
Q8TEW6	DOK4	DOK4
Q9NQ31	AKIP1	AKIP1
Q8WUA4	GTF3C2	GTF3C2
Q96PY5	FMNL2	FMNL2
Q9NQ32	C11orf16	C11orf16
Q8TEW8	PARD3B	PARD3B
Q96PY6	NEK1	NEK1
Q9NQ33	ASCL3	ASCL3
Q5CZ79	ANKRD20A8P	ANKRD20A8P
Q68DE3	USF3	USF3
Q9NQ34	TMEM9B	TMEM9B
P23470	PTPRG	PTPRG
Q6P4E1	CASC4	CASC4
Q8WUA7	TBC1D22A	TBC1D22A
P23471	PTPRZ1	PTPRZ1
Q9NQ35	NRIP3	NRIP3
P98088	MUC5AC	MUC5AC
O00410	IPO5	IPO5
O14810	CPLX1	CPLX1
O75027	ABCB7	ABCB7
Q8WUA8	TSKU	TSKU
Q9NQ36	SCUBE2	SCUBE2
O00411	POLRMT	POLRMT
P05556	ITGB1	ITGB1
Q9NYC9	DNAH9	DNAH9
Q0P5P2	C17orf67	C17orf67
P19957	PI3	PI3
Q9NQ38	SPINK5	SPINK5
O14813	PHOX2A	PHOX2A
Q9NQ39	RPS10P5	RPS10P5
Q7L0Q8	RHOU	RHOU
P62330	ARF6	ARF6
Q9H013	ADAM19	ADAM19
O14815	CAPN9	CAPN9
Q9H015	SLC22A4	SLC22A4
Q5SQ64	LY6G6F	LY6G6F
Q05481	ZNF91	ZNF91
O14817	TSPAN4	TSPAN4
P62333	PSMC6	PSMC6
O14818	PSMA7	PSMA7
P55795	HNRNPH2	HNRNPH2
Q99795	GPA33	GPA33
O00418	EEF2K	EEF2K
Q8N3H0	TAFA2	TAFA2
Q6ICB0	DESI1	DESI1
Q9BWL3	C1orf43	C1orf43
Q9H019	MTFR1L	MTFR1L
Q99797	MIPEP	MIPEP
Q99798	ACO2	ACO2
P27361	MAPK3	MAPK3
A0A1B0GTY4	TEX50	TEX50
Q6ICB4	PHETA2	PHETA2
Q9H6Z4	RANBP3	RANBP3
Q9UG22	GIMAP2	GIMAP2
P48304	REG1B	REG1B
Q8IZQ1	WDFY3	WDFY3
P53602	MVD	MVD
A0A0B4J1Y8	IGLV9-49	IGLV9-49
P48307	TFPI2	TFPI2
A0A0B4J1Y9	IGHV3-72	IGHV3-72
Q9H6Z9	EGLN3	EGLN3
Q8IZQ5	SELENOH	SELENOH
Q5T6S3	PHF19	PHF19
P50583	NUDT2	NUDT2
B2RUZ4	SMIM1	SMIM1
Q14671	PUM1	PUM1
Q8TBC3	SHKBP1	SHKBP1
Q96ME1	FBXL18	FBXL18
Q8TBC4	UBA3	UBA3
P53609	PGGT1B	PGGT1B
Q8IZQ8	MYOCD	MYOCD
Q8TBC5	ZSCAN18	ZSCAN18
Q9Y5W3	KLF2	KLF2
Q14674	ESPL1	ESPL1
P04233	CD74	CD74
Q6P9A1	ZNF530	ZNF530
P04234	CD3D	CD3D
Q9Y5W5	WIF1	WIF1
A2A3K4	PTPDC1	PTPDC1
Q96E52	OMA1	OMA1
Q14676	MDC1	MDC1
Q6P9A2	GALNT18	GALNT18
P36551	CPOX	CPOX
Q6P9A3	ZNF549	ZNF549
Q14677	CLINT1	CLINT1
Q96ME7	ZNF512	ZNF512
Q9Y5W7	SNX14	SNX14
Q14678	KANK1	KANK1
P0C1S8	WEE2	WEE2
Q14679	TTLL4	TTLL4
Q9Y5W8	SNX13	SNX13
Q6E0U4	DMKN	DMKN
Q76M96	CCDC80	CCDC80
Q9Y5W9	SNX11	SNX11
P68871	HBB	HBB
Q6AHZ1	ZNF518A	ZNF518A
P61011	SRP54	SRP54
Q05940	SLC18A2	SLC18A2
P86790	CCZ1B	CCZ1B
P08118	MSMB	MSMB
Q2M1P5	KIF7	KIF7
P86791	CCZ1	CCZ1
Q5VUB5	FAM171A1	FAM171A1
Q9BT81	SOX7	SOX7
Q8N8D1	PDCD7	PDCD7
P0C860	MSL3P1	MSL3P1
P61018	RAB4B	RAB4B
Q6YI46	TMEM64	TMEM64
P61019	RAB2A	RAB2A
P0C862	C1QTNF9	C1QTNF9
Q96CN4	EVI5L	EVI5L
Q96CN5	LRRC45	LRRC45
P0C864	DANCR	DANCR
P27824	CANX	CANX
P26045	PTPN3	PTPN3
Q8N8D7	NKAIN3	NKAIN3
Q9BT88	SYT11	SYT11
P0C866	LINC00869	LINC00869
Q96CN7	ISOC1	ISOC1
Q08050	FOXM1	FOXM1
Q8N8D9	C5orf56	C5orf56
Q9H3F6	KCTD10	KCTD10
Q96CN9	GCC1	GCC1
P0C869	PLA2G4B	PLA2G4B
Q86W67	FAM228A	FAM228A
Q9BRQ0	PYGO2	PYGO2
Q13351	KLF1	KLF1
Q9BRQ3	NUDT22	NUDT22
A6NI72	NCF1B	NCF1B
Q13352	ITGB3BP	ITGB3BP
Q969W0	SPTSSA	SPTSSA
Q96RA2	OR7D2	OR7D2
Q9UJG1	MOSPD1	MOSPD1
A6NI73	LILRA5	LILRA5
Q9BRQ4	CFAP300	CFAP300
Q969W1	ZDHHC16	ZDHHC16
Q9HB90	RRAGC	RRAGC
Q9BRQ5	ORAI3	ORAI3
Q7Z3S7	CACNA2D4	CACNA2D4
Q8NG75	OR5T1	OR5T1
Q9BRQ6	CHCHD6	CHCHD6
Q9Y2C2	UST	UST
Q13356	PPIL2	PPIL2
Q8NG76	OR2T33	OR2T33
Q7Z3S9	NOTCH2NLA	NOTCH2NLA
Q969W3	FAM104A	FAM104A
P22612	PRKACG	PRKACG
P35232	PHB	PHB
Q8NG77	OR2T12	OR2T12
Q9Y2C3	B3GALT5	B3GALT5
Q9BRQ8	AIFM2	AIFM2
Q8NG78	OR8G5	OR8G5
Q9Y2C4	EXOG	EXOG
Q9Y2C5	SLC17A4	SLC17A4
P33991	MCM4	MCM4
A6NI79	CCDC69	CCDC69
P33992	MCM5	MCM5
Q9HB96	FANCE	FANCE
B5ME19	EIF3CL	EIF3CL
Q969W8	ZNF566	ZNF566
P35236	PTPN7	PTPN7
P33993	MCM7	MCM7
O42043	ERVK-18	ERVK-18
P63123	ERVK-18	ERVK-18
Q9QC07	ERVK-18	ERVK-18
P35237	SERPINB6	SERPINB6
Q969W9	PMEPA1	PMEPA1
P28698	MZF1	MZF1
P49638	TTPA	TTPA
Q9Y2C9	TLR6	TLR6
Q96PZ0	PUS7	PUS7
Q709C8	VPS13C	VPS13C
O75030	MITF	MITF
P49639	HOXA1	HOXA1
O75031	HSF2BP	HSF2BP
Q96PZ2	FAM111A	FAM111A
Q8NEP3	DNAAF1	DNAAF1
Q9NQ40	SLC52A3	SLC52A3
Q9BY41	HDAC8	HDAC8
Q8WUB2	FAM216A	FAM216A
Q9BY42	RTF2	RTF2
P19961	AMY2B	AMY2B
P98095	FBLN2	FBLN2
Q9BY43	CHMP4A	CHMP4A
Q8NEP7	KLHDC9	KLHDC9
Q9NYD6	HOXC10	HOXC10
Q9BY44	EIF2A	EIF2A
Q96HJ3	CCDC34	CCDC34
Q8TEX9	IPO4	IPO4
Q6P4F1	FUT10	FUT10
Q96PZ7	CSMD1	CSMD1
Q8NEP9	ZNF555	ZNF555
Q96HJ5	MS4A3	MS4A3
O75037	KIF21B	KIF21B
Q6P4F2	FDX2	FDX2
P12104	FABP2	FABP2
O75038	PLCH2	PLCH2
Q8WUB8	PHF10	PHF10
O00421	CCRL2	CCRL2
O00422	SAP18	SAP18
Q7L0R7	RNF44	RNF44
Q9BY49	PECR	PECR
E2RYF6	MUC22	MUC22
Q9NQ48	LZTFL1	LZTFL1
O00423	EML1	EML1
P12107	COL11A1	COL11A1
E2RYF7	HCG22	HCG22
Q96HJ9	FMC1	FMC1
P62341	SELENOT	SELENOT
O00425	IGF2BP3	IGF2BP3
P12109	COL6A1	COL6A1
Q6P4F7	ARHGAP11A	ARHGAP11A
A0JNW5	UHRF1BP1L	UHRF1BP1L
O14827	RASGRF2	RASGRF2
O14828	SCAMP3	SCAMP3
O14829	PPEF1	PPEF1
O00429	DNM1L	DNM1L
Q13813	SPTAN1	SPTAN1
Q9BWM5	ZNF416	ZNF416
A0A1B0GTZ2	CCDC196	CCDC196
P09455	RBP1	RBP1
A0A0B4J1Z2	IGKV1D-43	IGKV1D-43
Q6NT76	HMBOX1	HMBOX1
Q9BWM7	SFXN3	SFXN3
P00352	ALDH1A1	ALDH1A1
Q8N3I7	BBS5	BBS5
P53611	RABGGTB	RABGGTB
A0A087X1C5	CYP2D7	CYP2D7
Q6ICC9	RTL6	RTL6
B7Z1M9	C2CD4D	C2CD4D
A1L0T0	ILVBL	ILVBL
P50591	TNFSF10	TNFSF10
Q53ET0	CRTC2	CRTC2
Q14680	MELK	MELK
Q8IZR5	CMTM4	CMTM4
Q9Y5X0	SNX10	SNX10
Q14681	KCTD2	KCTD2
Q9Y5X1	SNX9	SNX9
Q2M385	MPEG1	MPEG1
P53618	COPB1	COPB1
Q96MF2	STAC3	STAC3
Q9Y5X2	SNX8	SNX8
Q14683	SMC1A	SMC1A
Q7L5N1	COPS6	COPS6
Q9Y5X3	SNX5	SNX5
Q14684	RRP1B	RRP1B
Q9Y5X4	NR2E3	NR2E3
P84157	MXRA7	MXRA7
Q96MF4	CCDC140	CCDC140
Q2M389	WASHC4	WASHC4
Q9Y5X5	NPFFR2	NPFFR2
Q14686	NCOA6	NCOA6
P23942	PRPH2	PRPH2
Q14687	GSE1	GSE1
Q9NV06	DCAF13	DCAF13
Q96MF6	COQ10A	COQ10A
A2A3L6	TTC24	TTC24
Q96MF7	NSMCE2	NSMCE2
Q7L5N7	LPCAT2	LPCAT2
P49184	DNASE1L1	DNASE1L1
Q14689	DIP2A	DIP2A
P08123	COL1A2	COL1A2
P61020	RAB5B	RAB5B
Q6P9B6	MEAK7	MEAK7
Q9Y5X9	LIPG	LIPG
P23945	FSHR	FSHR
P23946	CMA1	CMA1
Q6P9B9	INTS5	INTS5
Q05952	TNP2	TNP2
Q8WXW3	PIBF1	PIBF1
P61024	CKS1B	CKS1B
P49189	ALDH9A1	ALDH9A1
P09912	IFI6	IFI6
P62805	HIST1H4A	HIST1H4A|HIST1H4B|HIST1H4C|HIST1H4D|HIST1H4E|HIST1H4F|HIST1H4H|HIST1H4I|HIST1H4J|HIST1H4K|HIST1H4L|HIST2H4A|HIST2H4B|HIST4H4
Q9NTI2	ATP8A2	ATP8A2
P61026	RAB10	RAB10
Q8N8E1	MAPKAPK5-AS1	MAPKAPK5-AS1
P09913	IFIT2	IFIT2
Q8N8E2	ZNF513	ZNF513
Q9BT92	TCHP	TCHP
P0C870	JMJD7	JMJD7
P09914	IFIT1	IFIT1
P62807	HIST1H2BC	HIST1H2BC|HIST1H2BE|HIST1H2BF|HIST1H2BG|HIST1H2BI
P80723	BASP1	BASP1
Q9NTI5	PDS5B	PDS5B
Q8N8E3	CEP112	CEP112
Q9NTI7	INKA2	INKA2
P09917	ALOX5	ALOX5
P00813	ADA	ADA
P0C874	SPATA31D3	SPATA31D3
P31350	RRM2	RRM2
P0C875	FAM228B	FAM228B
P09919	CSF3	CSF3
Q86W74	ANKRD46	ANKRD46
Q9H3G5	CPVL	CPVL
P06899	HIST1H2BJ	HIST1H2BJ
Q69383	ERVK-6	ERVK-6
Q69384	ERVK-6	ERVK-6
Q7LDI9	ERVK-6	ERVK-6
Q9BXR3	ERVK-6	ERVK-6
Q9Y6I0	ERVK-6	ERVK-6
Q7Z3T1	OR2W3	OR2W3
Q9BRR0	ZKSCAN3	ZKSCAN3
Q6UWB1	IL27RA	IL27RA
B1ANH7	IBA57-DT	IBA57-DT
Q5JSL3	DOCK11	DOCK11
Q5BKX5	C19orf54	C19orf54
Q13360	ZNF177	ZNF177
Q5BKX6	SLC45A4	SLC45A4
Q8NG80	OR2L5	OR2L5
Q8NG81	OR2M7	OR2M7
P0C6P0	NBEAP1	NBEAP1
Q13361	MFAP5	MFAP5
P31358	CD52	CD52
Q9BRR3	TMEM246	TMEM246
Q6UWB4	PRSS55	PRSS55
Q13362	PPP2R5C	PPP2R5C
Q5BKX8	CAVIN4	CAVIN4
Q969X0	RILPL2	RILPL2
Q8NG83	OR2M3	OR2M3
Q13363	CTBP1	CTBP1
Q86UP0	CDH24	CDH24
Q969X1	TMBIM1	TMBIM1
Q8NG84	OR2AK2	OR2AK2
Q9Y2D0	CA5B	CA5B
Q7Z3T8	ZFYVE16	ZFYVE16
Q969X2	ST6GALNAC6	ST6GALNAC6
B4DYI2	SPATA31C2	SPATA31C2
Q8NG85	OR2L3	OR2L3
P35240	NF2	NF2
Q86UP2	KTN1	KTN1
P49640	EVX1	EVX1
Q9Y2D1	ATF5	ATF5
Q9BRR6	ADPGK	ADPGK
Q86UP3	ZFHX4	ZFHX4
Q9Y2D2	SLC35A3	SLC35A3
P35241	RDX	RDX
P49641	MAN2A2	MAN2A2
A6NI86	GOLGA6L10	GOLGA6L10
P49642	PRIM1	PRIM1
Q9BRR8	GPATCH1	GPATCH1
Q13367	AP3B2	AP3B2
A6NI87	CBY3	CBY3
P35243	RCVRN	RCVRN
P49643	PRIM2	PRIM2
Q96RB7	OR5M11	OR5M11
Q13368	MPP3	MPP3
Q9Y2D4	EXOC6B	EXOC6B
Q969X5	ERGIC1	ERGIC1
Q9BRR9	ARHGAP9	ARHGAP9
Q969X6	UTP4	UTP4
P35244	RPA3	RPA3
Q86UP6	CUZD1	CUZD1
Q9Y2D5	AKAP2	AKAP2
Q9UJH8	METRN	METRN
P22626	HNRNPA2B1	HNRNPA2B1
Q86UP8	GTF2IRD2	GTF2IRD2
Q9Y2D8	SSX2IP	SSX2IP
P35247	SFTPD	SFTPD
Q86UP9	LHFPL3	LHFPL3
Q9Y2D9	ZNF652	ZNF652
Q8IUW3	SPATA2L	SPATA2L
Q5TB30	DEPDC1	DEPDC1
P35249	RFC4	RFC4
A6NGQ2	OOEP	OOEP
Q9BY50	SEC11C	SEC11C
Q8IUW5	RELL1	RELL1
Q9NQ50	MRPL40	MRPL40
Q8TEY5	CREB3L4	CREB3L4
P19971	TYMP	TYMP
P12110	COL6A2	COL6A2
Q8NEQ5	C1orf162	C1orf162
Q8TEY7	USP33	USP33
O75044	SRGAP2	SRGAP2
Q8NEQ6	SRARP	SRARP
P12111	COL6A3	COL6A3
Q8N511	TMEM199	TMEM199
Q6YN16	HSDL2	HSDL2
Q04637	EIF4G1	EIF4G1
P23490	LOR	LOR
Q09MP3	RAD51AP2	RAD51AP2
O14830	PPEF2	PPEF2
Q9NQ55	PPAN	PPAN
Q149M9	NWD1	NWD1
P0DMB1	PRR23D2	PRR23D2
P57052	RBM11	RBM11
O14832	PHYH	PHYH
P0DMB2	C8orf88	C8orf88
Q5SQ80	ANKRD20A2	ANKRD20A2
P57053	H2BFS	H2BFS
P57054	PIGP	PIGP
Q08ER8	ZNF543	ZNF543
P57055	RIPPLY3	RIPPLY3
O14836	TNFRSF13B	TNFRSF13B
P23497	SP100	SP100
P57057	SLC37A1	SLC37A1
Q9BWN1	PRR14	PRR14
Q0VF49	KIAA2012	KIAA2012
P57058	HUNK	HUNK
P30038	ALDH4A1	ALDH4A1
P57059	SIK1	SIK1
P30039	PBLD	PBLD
Q13822	ENPP2	ENPP2
Q13823	GNL2	GNL2
Q8N3J2	METTL4	METTL4
Q13825	AUH	AUH
Q8N3J3	C17orf53	C17orf53
P09466	PAEP	PAEP
Q8N3J5	PPM1K	PPM1K
P09467	FBP1	FBP1
Q6NT89	TRNP1	TRNP1
Q8N3J6	CADM2	CADM2
Q13829	TNFAIP1	TNFAIP1
A8MU46	SMTNL1	SMTNL1
Q5RGS3	FAM74A1	FAM74A1
P53621	COPA	COPA
Q8N3J9	ZNF664	ZNF664
P00367	GLUD1	GLUD1
Q69YQ0	SPECC1L	SPECC1L
Q8TBE0	BAHD1	BAHD1
Q14690	PDCD11	PDCD11
Q8IZS5	OFCC1	OFCC1
Q8TBE1	CNIH3	CNIH3
Q8IZS6	TCTE3	TCTE3
Q14691	GINS1	GINS1
Q9Y5Y0	FLVCR1	FLVCR1
Q8TBE3	FNDC9	FNDC9
O75503	CLN5	CLN5
Q8IZS7	CLECL1	CLECL1
Q14692	BMS1	BMS1
Q9NV12	TMEM140	TMEM140
Q9Y5Y2	NUBP2	NUBP2
Q14693	LPIN1	LPIN1
Q96MG2	JSRP1	JSRP1
Q8IZS8	CACNA2D3	CACNA2D3
Q14694	USP10	USP10
Q9Y5Y3	GPR45	GPR45
P49190	PTH2R	PTH2R
Q9Y5Y4	PTGDR2	PTGDR2
Q14695	KIAA0087	KIAA0087
O75506	HSBP1	HSBP1
Q53EU6	GPAT3	GPAT3
Q8TBE7	SLC35G2	SLC35G2
Q9Y5Y5	PEX16	PEX16
Q14696	MESD	MESD
Q9Y5Y6	ST14	ST14
Q14697	GANAB	GANAB
O75508	CLDN11	CLDN11
O75509	TNFRSF21	TNFRSF21
Q96MG7	NSMCE3	NSMCE3
Q8TBE9	NANP	NANP
Q9Y5Y7	LYVE1	LYVE1
Q14699	RFTN1	RFTN1
Q96MG8	PCMTD1	PCMTD1
P08133	ANXA6	ANXA6
Q9Y5Y9	SCN10A	SCN10A
P08134	RHOC	RHOC
P04259	KRT6B	KRT6B
P36575	ARR3	ARR3
P43115	PTGER3	PTGER3
Q8WXX0	DNAH7	DNAH7
P43116	PTGER2	PTGER2
Q52LJ0	FAM98B	FAM98B
P36578	RPL4	RPL4
P08138	NGFR	NGFR
P43119	PTGIR	PTGIR
Q66PJ3	ARL6IP4	ARL6IP4
Q9NTJ3	SMC4	SMC4
Q8WXX5	DNAJC9	DNAJC9
Q5VUD6	DIPK1B	DIPK1B
P09923	ALPI	ALPI
Q9NTJ4	MAN2C1	MAN2C1
Q9NTJ5	SACM1L	SACM1L
P0C881	RSPH10B	RSPH10B
Q96CP2	FLYWCH2	FLYWCH2
Q8WXX7	AUTS2	AUTS2
Q9UL01	DSE	DSE
Q9H3H1	TRIT1	TRIT1
Q8N8F6	YIPF7	YIPF7
Q9UL03	INTS6	INTS6
Q8N8F7	LSMEM1	LSMEM1
Q96CP6	GRAMD1A	GRAMD1A
Q9H3H3	C11orf68	C11orf68
Q96CP7	TLCD1	TLCD1
Q5BKY1	LRRC10	LRRC10
Q9H3H5	DPAGT1	DPAGT1
Q96RT6	CTAGE1	CTAGE1
Q9HC47	CTAGE1	CTAGE1
Q9H3H9	TCEAL2	TCEAL2
P52306	RAP1GDS1	RAP1GDS1
Q13370	PDE3B	PDE3B
Q9BRS2	RIOK1	RIOK1
Q13371	PDCL	PDCL
Q8NG92	OR13H1	OR13H1
Q86UQ0	ZNF589	ZNF589
Q969Y0	NXPE3	NXPE3
